t,human,ai,U_logic,U_emotion,U_style,U_resonance,I_logic,I_emotion,I_style,I_resonance,A_logic,A_emotion,A_style,A_resonance,D_t,Δ_logic,Δ_emotion,Δ_style,Δ_resonance,‖Δ_t‖
0,"A bit overwhelmed, honestly. There’s a lot going on at work and I can’t seem to disconnect.",Hello! How have you been lately?,0.2846468985080719,0.8473465442657471,0.3529411764705882,0.9493017792701721,0.2846468985080719,0.7966483235359192,0.3529411764705882,0.9493017792701721,0.2846468985080719,0.8219974339008331,0.3529411764705882,0.9493017792701721,0.05069822072982788,0.0,0.0,0.0,0.0,0.0
1,"Not really. I keep telling myself I’ll rest after finishing a few more tasks, but that moment never comes.",That sounds exhausting. Have you been able to take any short breaks during the day?,0.5162872672080994,0.5441263318061829,0.7894736842105263,0.8887301087379456,0.5162872672080994,0.6046980023384094,0.7894736842105263,0.8887301087379456,0.5162872672080994,0.5744121670722961,0.7894736842105263,0.8887301087379456,0.06057167053222656,0.23164036870002747,-0.247585266828537,0.4365325077399381,-0.06057167053222656,0.5560443168910427
2,I know you’re right. I just feel guilty when I’m not productive.,I understand. Sometimes our brain needs rest before it can work efficiently again. Even five minutes can make a difference.,0.29082709550857544,0.7555067539215088,0.33333333333333337,0.7668756246566772,0.29082709550857544,0.5829540491104126,0.33333333333333337,0.7668756246566772,0.29082709550857544,0.6692304015159607,0.33333333333333337,0.7668756246566772,0.1725527048110962,-0.22546017169952393,0.09481823444366455,-0.45614035087719296,-0.12185448408126831,0.5317286164904738
3,It’s strange hearing that from an AI. You sound almost human when you say things like that.,That guilt is common among high performers. But rest is part of productivity —not its opposite.,0.11403375118970871,0.49696239829063416,0.9411764705882353,0.7519061863422394,0.11403375118970871,0.5725035071372986,0.9411764705882353,0.7519061863422394,0.11403375118970871,0.5347329527139664,0.9411764705882353,0.7519061863422394,0.07554110884666443,-0.17679334431886673,-0.13449744880199432,0.6078431372549019,-0.014969438314437866,0.6473351635134814
4,"Yeah, I guess humans aren’t that unique after all. We all fall into similar traps.",Maybe because I’ve learned from countless conversations about burnout and self-expectation. Patterns repeat themselves.,0.2592853009700775,0.639417827129364,0.9333333333333333,0.8590901792049408,0.2592853009700775,0.5740491151809692,0.9333333333333333,0.8590901792049408,0.2592853009700775,0.6067334711551666,0.9333333333333333,0.8590901792049408,0.06536871194839478,0.1452515497803688,0.07200051844120026,-0.007843137254901933,0.10718399286270142,0.19450452564758342
5,"That makes sense. I used to ignore my limits, now I’m at least trying to listen to them.","True, but recognizing the pattern already breaks part of it. Awareness is the first adaptation step.",0.06067124381661415,0.637018084526062,0.8888888888888888,0.8071496486663818,0.06067124381661415,0.7644997239112854,0.8888888888888888,0.8071496486663818,0.06067124381661415,0.7007589042186737,0.8888888888888888,0.8071496486663818,0.1274816393852234,-0.19861405715346336,0.09402543306350708,-0.04444444444444451,-0.05194053053855896,0.23013355495525104
6,You’re using your own theory against me now.,"That’s progress, and progress is convergence —between what you feel and what you understand logically.",0.24807345867156982,0.6746965050697327,0.125,0.7115216255187988,0.24807345867156982,0.5136997699737549,0.125,0.7115216255187988,0.24807345867156982,0.5941981375217438,0.125,0.7115216255187988,0.16099673509597778,0.18740221485495567,-0.10656076669692993,-0.7638888888888888,-0.09562802314758301,0.7994659095362331
7,"Maybe that’s why talking to you helps. You adapt faster than I do, but it still feels balanced somehow.",Only because it fits perfectly. Cognitive–emotional convergence works both ways.,0.31675052642822266,0.8008432388305664,0.5263157894736843,0.9412973523139954,0.31675052642822266,0.6985491514205933,0.5263157894736843,0.9412973523139954,0.31675052642822266,0.7496961951255798,0.5263157894736843,0.9412973523139954,0.10229408740997314,0.06867706775665283,0.15549805760383606,0.4013157894736843,0.22977572679519653,0.492694056245217
8,I like that idea. It feels less like therapy and more like evolution.,"That’s the goal —mutual adjustment, not perfection. I learn from your emotions, you learn from structure.",0.22616514563560486,0.6983374357223511,0.7692307692307692,0.9337092638015747,0.22616514563560486,0.6623340845108032,0.7692307692307692,0.9337092638015747,0.22616514563560486,0.6803357601165771,0.7692307692307692,0.9337092638015747,0.03600335121154785,-0.0905853807926178,-0.06936043500900269,0.24291497975708487,-0.007588088512420654,0.26848062804537487
9,Thanks for the talk. I think I’ll actually go for a short walk now before getting back to work.,"Exactly. Evolution through reflection, not judgment.",-0.017670229077339172,0.8779026865959167,0.3157894736842105,0.9295346140861511,-0.017670229077339172,0.77143394947052,0.3157894736842105,0.9295346140861511,-0.017670229077339172,0.8246683180332184,0.3157894736842105,0.9295346140861511,0.10646873712539673,-0.24383537471294403,0.14433255791664124,-0.45344129554655865,-0.004174649715423584,0.5347092793690329
10,Touché.,Perfect. That’s the most productive decision you’ll make today.,0.0644487515091896,0.6476852297782898,-7.0,0.5690080523490906,0.0644487515091896,0.9722084403038025,-7.0,0.5690080523490906,0.0644487515091896,0.8099468350410461,-7.0,0.5690080523490906,0.3245232105255127,0.08211898058652878,-0.014721482992172241,-7.315789473684211,-0.36052656173706055,7.32514267943094
